Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Weight Unit,Status
colorgin-arte-urbana-400ml,,,,,,,,LARANJA HOLANDA 901,colorgin-arte-urbana-400ml-901,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,LARANJA MARTE 968,colorgin-arte-urbana-400ml-968,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,LILÁS 940,colorgin-arte-urbana-400ml-940,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,MADEIRA 951,colorgin-arte-urbana-400ml-951,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,MAGENTA 918,colorgin-arte-urbana-400ml-918,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,MAMÃO 971,colorgin-arte-urbana-400ml-971,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,MARROM CAFE 929,colorgin-arte-urbana-400ml-929,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,OURO 991,colorgin-arte-urbana-400ml-991,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,PRATA 990,colorgin-arte-urbana-400ml-990,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,PRETO 945,colorgin-arte-urbana-400ml-945,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,ROSA BISCUIT 954,colorgin-arte-urbana-400ml-954,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,ROSA BLUSH 953,colorgin-arte-urbana-400ml-953,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,ROSA CHICLETE 955,colorgin-arte-urbana-400ml-955,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,ROSA LIRIO 917,colorgin-arte-urbana-400ml-917,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
colorgin-arte-urbana-400ml,,,,,,,,ROSA LOTUS 916,colorgin-arte-urbana-400ml-916,,shopify,10,deny,manual,30.00,,TRUE,TRUE,,,,,,,,
